start,end,Location,satisfaction,wait_mins,Gender,age_group,Language,Corruption,cooperative,Experiences or suggestions of citizens,duration_mins
2019-04-29 07:35:36.241000+00:00,2019-04-29 07:37:58.622000+00:00,UG Police (Jinja Rd),3,40,Male,Between 30-50,English,No,Very cooperative,He came to see a suspect and he has been trying to get police bond but he has been told that the suspect's file has not yet been made.  He has all been told to go to various offices.,2.373016667
2019-04-11 07:30:11.752000+00:00,2019-04-11 07:30:51.835000+00:00,KCCA (Headquarters),3,30,Female,Between 30-50,Luganda,No,Very cooperative,"Staff helped her very well, she's pleased with the services",0.66805
2019-04-02 10:47:20.741000+00:00,2019-04-02 10:49:53.346000+00:00,KCCA (Central Division),4,0,Male,Over 50,English,No,Neutral,There was no line was able to pay the tax in time the staff members also worked on him very quickly,2.543416667
2019-04-02 10:51:26.131000+00:00,2019-04-02 10:54:05.016000+00:00,KCCA (Central Division),4,0,Male,Between 30-50,Luganda,No,Very cooperative,"Had come to renew his license, says  these people are very efficient work on you very fast they work like the professionals they are",2.648083333
2019-04-01 06:57:42.739000+00:00,2019-04-01 06:59:07.764000+00:00,KCCA (Central Division),4,10,Male,Between 30-50,English,No,Very cooperative,"The workers were very informative, and helpful",1.417083333
2019-04-01 07:16:52.117000+00:00,2019-04-01 07:17:44.525000+00:00,KCCA (Central Division),3,20,Male,Under 30,English,No,Very cooperative,Services were good faster than always,0.873466667
2019-04-01 07:33:26.310000+00:00,2019-04-01 07:34:17.726000+00:00,KCCA (Central Division),4,5,Male,Under 30,English,No,Very cooperative,"He was worked on very fast, within a few minutes he had his problem solved",0.856933333
2019-04-01 07:42:20.540000+00:00,2019-04-01 07:43:29.245000+00:00,KCCA (Central Division),3,30,Female,Between 30-50,Luganda,No,Very cooperative,"The process of evaluation was very slow, and yet nothing changed from her past payments",1.145083333
2019-04-01 07:49:52.568000+00:00,2019-04-01 07:50:54.676000+00:00,KCCA (Central Division),3,30,Female,Under 30,Luganda,No,Very cooperative,"The process was good,just after paying, and presenting her pay in slip, her licence was given to her",1.035133333
2019-04-01 07:55:22.332000+00:00,2019-04-01 07:56:48.550000+00:00,KCCA (Central Division),2,20,Female,Under 30,Luganda,No,Neutral,She presented her pay in slip but was told her licence is not yet ready,1.436966667
2019-04-01 07:58:56.992000+00:00,2019-04-01 07:59:45.069000+00:00,KCCA (Central Division),3,30,Male,Between 30-50,English,No,Very cooperative,"The process takes a lot of time, maybe the number of workers needs to be increased",0.801283333
2019-04-01 08:06:53.193000+00:00,2019-04-01 08:08:01.265000+00:00,KCCA (Central Division),3,20,Male,Between 30-50,Luganda,No,Neutral,"The service was good, but the system was down so he did not get his license",1.134533333
2019-04-01 08:14:59.842000+00:00,2019-04-01 08:16:21.329000+00:00,KCCA (Central Division),3,45,Male,Under 30,Luganda,No,Very cooperative,"The system requires lots of Patience, its very on and off hence one needs to wait for along time if they want to walk away with the license",1.358116667
2019-04-01 08:16:53.810000+00:00,2019-04-01 08:17:41.487000+00:00,KCCA (Central Division),3,30,Male,Under 30,English,No,Very cooperative,The process was okay,0.794616667
2019-04-01 08:26:32.755000+00:00,2019-04-01 08:28:59.117000+00:00,KCCA (Central Division),4,30,Male,Between 30-50,Luganda,No,Very cooperative,"He came to register a business the workers were helpful, guiding where he did not know what to do. He feels happy about the services",2.439366667
2019-04-01 08:29:16.084000+00:00,2019-04-01 08:30:00.996000+00:00,KCCA (Central Division),3,30,Female,Under 30,Luganda,No,Very cooperative,She got her licence and she happy about that,0.748533333
2019-04-02 07:44:39.765000+00:00,2019-04-02 07:51:18.991000+00:00,KCCA (Central Division),3,15,Male,Between 30-50,Luganda,No,Neutral,He found it very hard to locate the diso's office as the parking outside was full to maximum so locating and entrance was difficult. He however was helped and service was a bit slow which made the whole experience lenghthy. He suggested expanding the parking of the office generally,6.653766667
2019-04-02 07:36:40.180000+00:00,2019-04-02 07:43:44.897000+00:00,KCCA (Central Division),4,5,Male,Between 30-50,English,No,Very cooperative,He was helped and said staff was friendly as it wasn't his first time interacting with them. He appreciated the upgrade of lavatories at the station as they are now more sanitable than before.,7.078616667
2019-04-02 07:51:31.181000+00:00,2019-04-02 07:55:23.782000+00:00,KCCA (Central Division),5,2,Female,Under 30,English,No,Neutral,She came to visit the gender office. She was worked on and staff was very polite to her and wasn't asked for a bribe which she said was surprising because her experience at other public offices hasn't been good so far,3.876683333
2019-04-02 07:55:42.342000+00:00,2019-04-02 08:00:38.092000+00:00,KCCA (Central Division),3,15,Female,Between 30-50,Luganda,No,Neutral,"She came to register her business. She said the process was very expensive and had come with insufficient funds, so she did go through with the process. She noted that the fees are too high which is a disservice to low income earners.",4.929166667
2019-04-02 08:01:02.240000+00:00,2019-04-02 08:02:58.564000+00:00,KCCA (Central Division),3,2,Male,Unknown,English,No,Very cooperative,He came to get his national ID. He was told that offices were shifted to a new location and was very dissapointed because even the directions he was given were vague. He had no suggestions to give,1.938733333
2019-04-02 08:03:03.527000+00:00,2019-04-02 08:07:15.468000+00:00,KCCA (Central Division),5,5,Male,Between 30-50,English,No,Very cooperative,He came for a trading license. He said the service today was better than it was the day before as there wasn't a long que today and was worked on immediately he entered the office. The staff was in a good mood today and hopes it would keep like that.,4.199016667
2019-04-02 08:07:38.365000+00:00,2019-04-02 08:13:24.261000+00:00,KCCA (Central Division),5,2,Male,Between 30-50,Luganda,No,Very cooperative,He came to change the name of his business. Staff was very helpful to him as he was advised on how to select a good name when he was stuck. He however said it was a long process. He had no suggestions to give.,5.764933333
2019-04-02 08:13:29.418000+00:00,2019-04-02 08:19:34.443000+00:00,KCCA (Central Division),3,5,Male,Between 30-50,English,No,Neutral,He came to pay for the trading license. He was told that payments are made through the bank which didn't please him and suggested that the system is centralized as the whole process involved making numerous ques which is really tiresome.,6.08375
2019-04-02 08:20:22.717000+00:00,2019-04-02 08:24:54.427000+00:00,KCCA (Central Division),3,10,Male,Between 30-50,Luganda,No,Very cooperative,He came to register his Sacco. He wasnt meeting the minimum number if people required for registration so he wasn't given the forms. He however appreciated the staff for being patient with him as he wasn't accustomed to the new way of doing things at the station.,4.5285
2019-04-02 08:29:28.237000+00:00,2019-04-02 08:41:23.659000+00:00,KCCA (Central Division),4,15,Male,Over 50,Luganda,No,Neutral,He was helped and his forms stamped although he waited for long as the mayor was still held up. Staff was very approachable and kept him company as he waited. He was satisfied with the service today.,11.9237
2019-04-02 08:41:44.184000+00:00,2019-04-02 08:44:51.135000+00:00,KCCA (Central Division),2,2,Female,Over 50,English,No,Very cooperative,She came to get her national ID. She was very dissapointed when told that the officer were shifted because where she was coming from is where she was told that they were put. She hoped the organization had made an informative advert to avoid inconveniencing citizens.,3.11585
2019-04-02 08:46:35.827000+00:00,2019-04-02 09:07:06.599000+00:00,KCCA (Central Division),5,10,Female,Over 50,English,No,Neutral,She came for tax issues. She was happy with the layout of the place because there was a provision where lame people pass so wasnt inconvenienced with taking the stairs. She was satisfied with the service and had no suggestions to give,20.51286667
2019-04-02 09:07:15.057000+00:00,2019-04-02 09:12:10.755000+00:00,KCCA (Central Division),4,5,Male,Between 30-50,English,No,Neutral,He came to register his business. He said the main issue is that the service was slow and didn't understand whether it was an issue with the system or the staff. He however was helped and got the necessary documentation.,4.9283
2019-04-02 09:12:21.628000+00:00,2019-04-02 09:16:17.274000+00:00,KCCA (Central Division),3,12,Female,Over 50,Luganda,No,Very cooperative,She came to finalize with her trading license. She was helped but said getting to the station was very hectic as she was elderly and the stairs wore her out. She suggested putting the offices at a leveled ground to help people like her.,3.927433333
2019-04-02 09:16:21.147000+00:00,2019-04-02 09:25:01.471000+00:00,KCCA (Central Division),5,8,Male,Between 30-50,English,No,Very cooperative,He came to visit the ura office. It was hard locating the office as there were many entrances. One of the staff members really helped him and directed to where he was supposed to be at and later clearly directed him to the bank where payments were to be made. He was very happy with the service today,8.672066667
2019-04-02 09:40:27.454000+00:00,2019-04-02 09:44:56.182000+00:00,KCCA (Central Division),3,2,Female,Between 30-50,English,No,Very cooperative,She was told that the town clerk was at City Hall today and was given his contact incase she wanted to make an appointment. She saw his personal assistant was humble which made her experience good. She was thankful for the little help given.,4.4788
2019-04-02 09:47:05.192000+00:00,2019-04-02 09:50:06.052000+00:00,KCCA (Central Division),5,5,Female,Between 30-50,Luganda,No,Very cooperative,She was worked on so fast as there wasn't a que and liked their efficiency and good customer care. She was surprised to be worked upon immediately as there is always a long que at the office. She suggested clearly labelling the offices as she spent most of her time directing some people that had failed to find the right office.,3.014333333
2019-04-02 09:50:34.413000+00:00,2019-04-02 09:55:01.410000+00:00,KCCA (Central Division),5,15,Female,Between 30-50,Luganda,No,Very cooperative,She said the deputy mayor is a very friendly and down to earth man as he was very understanding  in her situation and even advised her on how to go about some issues she had. She was very happy with the service and would willingly come back to the office in case of any issues,4.44995
2019-04-02 09:55:31.301000+00:00,2019-04-02 10:00:44.535000+00:00,KCCA (Central Division),4,5,Female,Between 30-50,English,No,Neutral,She came for a trading license. Service was quick and staff was in high spirits today. She however found an issue with where to park her car as she wasn't allowed to park outside as it was reserved for staff. She suggested them providing allocated parking for their clients to ease work,5.220566667
2019-04-02 10:00:49.270000+00:00,2019-04-02 10:03:47.359000+00:00,KCCA (Central Division),3,10,Female,Between 30-50,Luganda,No,Very cooperative,She came for property rates assessment for a relative. She was told that the information couldnt be accessed as the names in the system seemed to have been changed. She said staff was understanding and very patient with her as she tried to rectify the issue. She was satisfied with the service today.,2.96815
2019-04-02 06:13:53.645000+00:00,2019-04-02 06:14:58.669000+00:00,UG Police (Ntinda),3,10,Female,Under 30,English,No,Very cooperative,"The process was very fast, she did not have to spend a lot of time at the station",1.083733333
2019-04-02 06:25:58.605000+00:00,2019-04-02 06:27:07.005000+00:00,UG Police (Ntinda),4,5,Male,Between 30-50,Luganda,No,Neutral,Services are okay,1.14
2019-04-02 06:40:22.612000+00:00,2019-04-02 06:42:34.692000+00:00,UG Police (Ntinda),3,30,Male,Between 30-50,Luganda,No,Very cooperative,"The police officers weren't in office to work on him, and he was told to comeback  later",2.201333333
2019-04-02 06:54:05.447000+00:00,2019-04-02 06:55:21.801000+00:00,UG Police (Ntinda),4,15,Male,Between 30-50,Luganda,No,Very cooperative,"He was helped very well,he found the officer in charge at the station",1.272566667
2019-04-02 07:03:34.442000+00:00,2019-04-02 07:04:41.053000+00:00,UG Police (Ntinda),3,20,Female,Between 30-50,Luganda,No,Very cooperative,"Police is doing some good work with investigations, I hope the culprits are brought to book very soon",1.110183333
2019-04-02 07:12:40.840000+00:00,2019-04-02 07:14:05.605000+00:00,UG Police (Ntinda),3,5,Female,Under 30,Luganda,No,Very cooperative,"She came to report an assault case, she's was happy with the way the female officers handled her and guided her on what to do next",1.41275
2019-04-02 07:16:15.857000+00:00,2019-04-02 07:18:29.620000+00:00,UG Police (Ntinda),3,10,Male,Between 30-50,English,No,Very cooperative,The process was very good,2.229383333
2019-04-02 07:25:23.592000+00:00,2019-04-02 07:26:01.705000+00:00,UG Police (Ntinda),3,15,Female,Under 30,Luganda,No,Neutral,Services are good,0.635216667
2019-04-02 07:31:39.926000+00:00,2019-04-02 07:33:09.435000+00:00,UG Police (Ntinda),3,20,Female,Between 30-50,Luganda,No,Very cooperative,"Services are okay, though the hospitality is still lacking",1.491816667
2019-04-02 07:44:10.393000+00:00,2019-04-02 07:45:21.744000+00:00,UG Police (Ntinda),2,10,Male,Between 30-50,English,No,Very cooperative,"Police should have officers at the station all the time, we can't keep waiting for those in the field",1.189183333
2019-04-02 07:46:02.108000+00:00,2019-04-02 07:46:44.830000+00:00,UG Police (Ntinda),3,5,Male,Between 30-50,English,No,Very cooperative,The services were excellent,0.712033333
2019-04-02 07:53:43.976000+00:00,2019-04-02 07:56:18.025000+00:00,UG Police (Ntinda),3,5,Male,Under 30,English,No,Very cooperative,Services were good and very fast,2.567483333
2019-04-02 11:49:57.281000+00:00,2019-04-02 11:51:01.359000+00:00,KCCA (Central Division),4,5,Female,Between 30-50,Luganda,No,Very cooperative,I have got the stamp and the secretary to the mayor has been helpful,1.067966667
2019-04-02 10:34:28.312000+00:00,2019-04-02 10:37:40.033000+00:00,KCCA (Central Division),3,0,Male,Between 30-50,English,No,Very cooperative,Was able to get the trading license but suggests that  branches should be put near clients so that they can easily access these licensing offices so that they won't have to walk long distances to come here,3.19535
2019-04-02 11:02:41.632000+00:00,2019-04-02 11:03:59.057000+00:00,KCCA (Central Division),3,0,Male,Between 30-50,Luganda,No,Neutral,Was able to get the tax assessment form,1.290416667
2019-04-02 11:08:15.057000+00:00,2019-04-02 11:09:52.726000+00:00,KCCA (Central Division),3,5,Female,Between 30-50,English,No,Neutral,I have been given the assessment form to pay for the taxes so that I manage to get the license,1.627816667
2019-04-02 11:13:07.442000+00:00,2019-04-02 11:14:06.464000+00:00,KCCA (Central Division),3,0,Male,Between 30-50,Luganda,No,Uncooperative,Was able to pay the tax,0.9837
2019-04-02 11:16:04.073000+00:00,2019-04-02 11:30:24.418000+00:00,KCCA (Central Division),4,15,Female,Under 30,Luganda,No,Very cooperative,"was able to get the documents, she was sent to another office to get the  document signed so they can give her more instructions on what the next step would be",14.33908333
2019-04-02 11:25:13.889000+00:00,2019-04-02 11:28:49.733000+00:00,KCCA (Central Division),3,0,Female,Between 30-50,Luganda,No,Very cooperative,"Her journey here didn't yield anything results, but she's happy with how she was treated by the staff since they paid attention to her as soon as she entered the station",3.5974
2019-04-02 11:35:01.141000+00:00,2019-04-02 11:36:16.680000+00:00,KCCA (Central Division),2,0,Male,Between 30-50,Luganda,No,Very cooperative,The office I was going to was closed so I couldn't get the services that I needed,1.258983333
2019-04-02 11:51:04.693000+00:00,2019-04-02 11:52:43.640000+00:00,KCCA (Central Division),3,10,Female,Between 30-50,English,No,Neutral,I have got specifically what I wanted since I have been missing some documents that I have been told to bring tomorrow,1.649116667
2019-04-02 11:53:09.321000+00:00,2019-04-02 11:54:18.246000+00:00,KCCA (Central Division),3,0,Female,Under 30,English,No,Uncooperative,Was able to renew her trading license,1.14875
2019-04-01 08:56:58.763000+00:00,2019-04-01 08:59:42.290000+00:00,UG Police (Wandegeya),1,20,Male,Over 50,Luganda,No,Very cooperative,"(joan) I have been following up case for four years but unfortunately the police isn't helpful because my criminal case was taken to court at the suspects caught, the file was brought back to the CID section but Everytime I talk to the officer handling my case he doesn't honor appointments yet he is the one that sets them",2.72545
2019-04-01 09:00:55.307000+00:00,2019-04-01 09:02:22.833000+00:00,UG Police (Wandegeya),4,5,Female,Between 30-50,Luganda,No,Very cooperative,"The officers have been kind and guided me on how to handle the case, actually my son is being taken to court but the officers have explained to me the whole situation only that it's that hasn't managed to get the required amount needed he the complainant",1.458766667
2019-04-01 09:02:46.096000+00:00,2019-04-01 09:03:46.094000+00:00,UG Police (Wandegeya),3,10,Male,Between 30-50,English,No,Neutral,I have been given the traffic assessment form which am going to use for the traffic payments,0.999966667
2019-04-01 09:05:36.873000+00:00,2019-04-01 09:07:58.956000+00:00,UG Police (Wandegeya),3,5,Male,Between 30-50,Luganda,No,Very cooperative,We came in the morning and was told to bring the original copy of the vehicle document which I have brought and the officer had released our vehicle,2.36805
2019-04-01 09:11:57.615000+00:00,2019-04-01 09:14:36.484000+00:00,UG Police (Wandegeya),3,20,Male,Between 30-50,Luganda,No,Neutral,He came to check on his file but the person with it is not around. He has been told to come back in the evening to check again. The service hasn't been terrible. The officer at the reception was good,2.647816667
2019-04-01 09:15:30.976000+00:00,2019-04-01 09:17:35.915000+00:00,UG Police (Wandegeya),3,10,Female,Under 30,English,No,Very cooperative,The services were bad because they spoke to me in a ride way so the officers need to work on the way the speak to u because my lmother is in custody but I feel disrespect,2.082316667
2019-04-01 09:23:02.602000+00:00,2019-04-01 09:24:37.481000+00:00,UG Police (Wandegeya),4,5,Male,Between 30-50,English,No,Very cooperative,He had misplaced his phone in the morning so he came to get a police letter to replace the line. They didn't ask for any money and he got the forms easily,1.581316667
2019-04-01 09:29:27.154000+00:00,2019-04-01 09:31:24.784000+00:00,UG Police (Wandegeya),3,5,Male,Between 30-50,Luganda,No,Very cooperative,"I got an accident and taken the victim to the hospital, the OC had been cooperative in the process and willing to help",1.9605
2019-04-01 09:33:00.773000+00:00,2019-04-01 09:34:25.176000+00:00,UG Police (Wandegeya),4,15,Male,Between 30-50,English,No,Very cooperative,He came to see a suspect here. They didn't ask for money and the service was okay,1.406716667
2019-04-01 09:44:13.741000+00:00,2019-04-01 09:46:50.054000+00:00,UG Police (Wandegeya),4,0,Male,Between 30-50,English,No,Neutral,He came to report a case involving a check of with special needs who had got a problem. The officers listened and he was able to explain to him them the situation.,2.605216667
2019-04-01 09:47:11.604000+00:00,2019-04-01 09:47:59.943000+00:00,UG Police (Wandegeya),3,15,Male,Between 30-50,Other,No,Neutral,I have got the vehicle release form and the services have been good,0.80565
2019-04-01 09:48:03.365000+00:00,2019-04-01 09:49:11.317000+00:00,UG Police (Wandegeya),3,10,Female,Between 30-50,Luganda,No,Neutral,The lady that worked on y case had been good and I have been advised of how to go about the whole situation,1.132533333
2019-04-01 09:52:22.620000+00:00,2019-04-01 09:53:21.260000+00:00,UG Police (Wandegeya),2,5,Male,Between 30-50,English,No,Uncooperative,I have been told that the network isn't available,0.977333333
2019-04-01 09:53:47.298000+00:00,2019-04-01 09:57:24.636000+00:00,UG Police (Wandegeya),3,0,Male,Between 30-50,Luganda,No,Very cooperative,My car for an accident work the government car but the one who was driving has been cooperative and I have accepted to pay for the compensation of the informed caused . Am lucky that one of the traffic officers is my friend there fore I have been helped immediately,3.6223
2019-04-03 06:17:55.953000+00:00,2019-04-03 06:19:21.872000+00:00,UG Police (Kira Road),3,5,Male,Between 30-50,English,Yes,Neutral,I have been go been a police letter to replace my line as well as the reference number for the case of the I have been reporting in a short period of time,1.431983333
2019-04-03 06:19:24.491000+00:00,2019-04-03 06:20:52.546000+00:00,UG Police (Kira Road),3,5,Female,Between 30-50,Luganda,No,Neutral,I have got services that I needed and it has been fair,1.467583333
2019-04-03 06:20:56.118000+00:00,2019-04-03 06:22:25.684000+00:00,UG Police (Kira Road),4,0,Female,Between 30-50,English,No,Very cooperative,I was helped immediately I got to the station and the lady that worked on me had been good because she explained that it's not time to visit the suspects but later allowed me to interact with the suspect,1.492766667
2019-04-03 06:38:12.818000+00:00,2019-04-03 06:40:22.778000+00:00,UG Police (Kira Road),2,15,Female,Between 30-50,Luganda,No,Very cooperative,I probably think the officers were brined because the suspect has been in custody for four days and today she is being taken to court and yet the day we had to a police bond the complainant didn't show up and the officers refused to release the suspect whereby she needs medical attention,2.166
2019-04-03 06:47:58.804000+00:00,2019-04-03 06:49:03.296000+00:00,UG Police (Kira Road),4,2,Male,Between 30-50,Luganda,No,Very cooperative,The services have been good and for today I can't complain. Am impressed by the way the officer was handling my issue,1.074866667
2019-04-03 06:49:06.937000+00:00,2019-04-03 06:49:57.437000+00:00,UG Police (Kira Road),4,0,Male,Between 30-50,English,No,Very cooperative,I have been helped immediately I came because I made an appointment and the officer was available to work on me,0.841666667
2019-04-03 06:50:02.018000+00:00,2019-04-03 06:51:49.710000+00:00,UG Police (Kira Road),3,0,Female,Between 30-50,English,No,Neutral,I have been reffered to Jinja road police and the officer that worked on me has been elaborative and explained to me how to go about the whole situation,1.794866667
2019-04-03 07:03:56.798000+00:00,2019-04-03 07:04:48.725000+00:00,UG Police (Kira Road),3,10,Male,Between 30-50,English,No,Neutral,I have been given enough time to interact with the suspect and everything has been good,0.86545
2019-04-03 07:05:09.320000+00:00,2019-04-03 07:06:27.051000+00:00,UG Police (Kira Road),3,20,Male,Between 30-50,English,No,Neutral,We found the OC traffic not in office and we have b en told to come back later,1.295516667
2019-04-03 07:16:14.622000+00:00,2019-04-03 07:17:50.593000+00:00,UG Police (Kira Road),3,0,Male,Between 30-50,Luganda,No,Neutral,The officer has told me that it's not the police's concern to make sure that KCCA removes the dogs that it killed so I should talk to the LC 1chairman to inform KCCA about removing them,1.599516667
2019-04-03 07:17:56.339000+00:00,2019-04-03 07:21:09.279000+00:00,UG Police (Kira Road),2,0,Female,Between 30-50,Luganda,No,Neutral,I have been given a reference number after reporting the missing kids yet I thought they would do something and there a problem of understanding reach other since we get in iteso not Luganda and the lady that was working on me didn't understand me clearly,3.215666667
2019-04-03 07:21:36.364000+00:00,2019-04-03 07:22:36.818000+00:00,UG Police (Kira Road),3,5,Male,Between 30-50,Luganda,No,Very cooperative,I have got the police letter and the process had been quick so I don't complain,1.007566667
